Zenobi - Sinclair User;Sinclair Usr - Zenobi
Chris Skapura;Skapura, Chris
Michael Slatford;Slatford, Michael
Sminrnov, Dmitry;Smirnov, Dmitry
Chris Smith;Smith, Chris
speccy Boyz;Speccy Boyz
Speccy.pl;speccy.pl
M.V. Spiridonenko;Spiridonenko, M. V.
D.R. Stone;Stone, D.R.
Dalibor Sver;Sver, Dalibor
Jesus Tejero;Tejero, Jesus
Kevin Thomas;Thomas, Kevin
Adam Thornton;Thornton, Adam
Simon Tillson;Tillson, Simon
Scene+;Timex
Timex Computer Corporation;Timex
Alexander Tkachev;Tkachev, Alexandr
David Todd;Todd, David
Greg Turnbull;Turnbull, Greg
Software, Unsatisfactory;Unsatisfactory
Unsatisfactory;unsatisfactory
Zuheir Urwani;Urwani, Zuheir
V.O.software;V.O. Software
Arnost Vecerka;Vecerka, Arnost
Carlo Maria Vireca;Vireca, Carlo Maria
M.V. Vishnevsky;Vishnevsky, M. V.
M. de Vries;Vries, M. de
Franklin Watts;Watts, Franklin
Matthew Westcott;Westcott, Matthew
Arnold Wheaton;Wheaton, Arnold
ZX-Legion - Wolfsoft;Wolfsoft - ZX Legion
Mark Woodmass;Woodmass, Mark
ZX-Legion - X-Team;X-Team - ZX Legion
Jonathan Yeomans;Yeomans, Jonathan
Daniel S. Yu;Yu, Daniel S.
Ansgar Zerfass;Zerfass, Ansgar
Michael Zey;Zey, Michael
Igor Zrinski;Zrinski, Igor
ZXstudio;ZX-Studio
#speccy;
02-S Soft;
1024K Studio;
16-48 Magazine;
16-48 Tape Magazine;
2.99 Classics;
21st Century Electronics;
2DOX;
39 Steps;
3CCorp;
3PSOFT;
3SC;
3T;
48K;
4CLRC SOFT;
4Mation Educational Resources;
4OCrisis;
4-Sight Computing;
4th Dimension;
4th Dimension - CondorSoft - Phantom Family;
5 Samyc;
5D;
5th Dimension;
7 Gods;
8th Day;
A&N Projects;
A. Biglin;
A. Cano;
A. Soft;
A.A. Barulin;
A.B. Wang;
A.B.C. - Abaran;
A.C.E.;
A.C.E. Publications;
A.D.;
A.G.C.;
A.J. Robinson;
A.J.Moss;
A.J.R. Heading;
A.K.;
A.P.T.;
A.R.V.;
AAA;
AAA Band;
AAABand;
AAABand Group;
Aackosoft;
Aardvark of Hartlepool;
Aasvoguelle Productions;
Abacus;
Abacus Programs;
Abbex Electronics;
Abbott, I.J.;
ABC Soft;
Abersoft;
Ablaev, Sergey;
Abraido, Jon Cortazar;
Abrasco;
Abrimaal;
Absinthe Boy;
absinthe_boy;
Abstract Concepts;
AC;
AC Data Games;
Academy Coders;
AcademySoft;
Accept;
Accept Corp;
Accolade;
Accolade - Crash;
Accord Data International;
ACD;
ACD Computer Services;
ACE;
Ace;
ACE Services;
Acid Team;
ACME;
ACP;
ACS;
Action;
Action Sixteen;
Activision;
Acton, R.;
ACZ;
Adam;
Adam Enterprises;
Adametz, Otto;
Adams, Barry;
Adams, N.;
Adams, Sean;
Adams, Stephen;
Adcock, T.J.;
Addictive Games;
Addictive Games - Sinclair User;
Addison-Wesley;
Addison-Wesley Productions;
Add-On Electronics;
Adimirov, Max;
ADJB;
Admiral;
Adramelek;
Adrian;
Adriano;
Adsoft;
Advance Promotions;
Advanced Adventure Creations;
Advanced Computer Exotic;
Advanced Memory Systems;
Advent, James;
Adventure;
Adventure Club, The;
Adventure International;
Adventure Probe;
Adventure Workshop, The;
Adventure Writer;
Adventurers Anonymous;
Adventuresoft UK;
Adventuresoft UK - Sinclair User;
AER;
Afendikov, Konstantin;
AFI;
AFM;
AG;
Agaev, Edlar;
Again Again;
AGD;
AGE & EGA;
Agent-X;
AGF Hardware;
Agrupacio Astronomica de Barcelona Aster;
AGS;
Aguev, E.;
Aguirre, Alfonso;
AH;
Ahmed, K.;
Ahrens, Holger;
AIG;
Ainley, F.;
AiR;
Air;
Air & Rainbow;
Airline;
Airsoft Development;
Airwaves;
Ais;
Akadimias;
Akasaka;
AKM Soft;
Akom;
Akron;
AK-Soft;
Alan's;
Alboran70;
Alchemist;
Alchemist PD;
Alchemist Research;
Alchemy;
Aldrich, Mike;
Aldridge, Ian;
Aldridge, Nick;
Alea;
ALEAsoft;
Alem;
Alesoft;
Alex Art;
Alex Norman - GDM;
Alexander Computing Systems;
Alexander, Mark;
Alfa Soft;
Alff - CPU;
Alfo;
Alford, Brendan;
Algray;
Alien;
Alien Factory;
Alimandi, Luca;
Alisoft;
Alivojvodic, Nikola;
ALKO;
Alkohol Soft;
Allanson Computing;
Allen, J.M.;
Alliance Team;
Alligata;
Allwood, Philip;
Alo Soft;
Alone Coder;
Aloysius Beltway;
Alpha;
Alpha Computer Products;
Alpha Systems;
Alphabatim;
Alpha-Omega;
AlphaPlus Educational;
Alphasoft;
Alphoid;
ALS & RLS;
Altair;
Alter World;
Alternative;
Alto-Tech;
Altwasser, Richard Francis;
Alvarez, Miguel Angel Gonzalez;
Alvin Albrecht;
ALZ;
AM Electronics;
Amadeus Voxon;
Amador, Javier;
Amaltiya;
Amazing Games;
Amazing Making;
Amazon Systems;
Amba;
AME;
Americana;
Ametist;
Amfas Computer;
AmiGanS;
Amilton;
Amisin;
Amoeba;
Amore, Gabriele;
AMSOFT;
AmSoft;
Amstrad;
Amstrad Sinclair Ocio;
Am-Tec;
Anarchia;
Anarchy Soft;
Ancient Bits;
Anco;
Andani, Jose Francisco;
Andead Programming;
Anderson, R.;
Andersson, Stefan;
Andic;
Andreas Niemann;
Andreas Zallmann;
