TOSEC path;WoS FTP path;Original TOSEC game name;ZXDB-based TOSEC game name;ZXDB ID;ZXDB release ID;WoS URL
tosec\Applications\[TAP]\YS MegaBasic v1.1 (1985)(Your Sinclair).zip;/pub/sinclair/utils/YSMegaBasicV1.1.tap.zip;YS MegaBasic v1.1 (1985)(Your Sinclair);YS MegaBasic (1984)(Your Spectrum);0008997;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008997
tosec\Applications\[TAP]\YS MegaBasic v3.0 (1985)(Your Sinclair).zip;/pub/sinclair/utils/YSMegaBasicV3.0.tap.zip;YS MegaBasic v3.0 (1985)(Your Sinclair);YS MegaBasic (1984)(Your Spectrum);0008997;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008997
tosec\Applications\[TAP]\YS MegaBasic v1.0 (1984)(Your Sinclair).zip;/pub/sinclair/utils/YSMegaBasicV1.0.tap.zip;YS MegaBasic v1.0 (1984)(Your Sinclair);YS MegaBasic (1984)(Your Spectrum);0008997;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008997
tosec\Applications\[Z80]\YS MegaBasic v3.0 - Demo (1985)(Your Sinclair).zip;/pub/sinclair/utils/YSMegaBasicV1.1Demo.z80.zip;YS MegaBasic v3.0 - Demo (1985)(Your Sinclair);YS MegaBasic (1984)(Your Spectrum);0008997;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008997
tosec\Applications\[Z80]\YS MegaBasic v3.0 - Sprite Designer (1985)(Your Sinclair).zip;/pub/sinclair/utils/YSMegaBasicV1.1SpriteDesigner.z80.zip;YS MegaBasic v3.0 - Sprite Designer (1985)(Your Sinclair);YS MegaBasic (1984)(Your Spectrum);0008997;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008997
tosec\Applications\[TZX]\YS MegaBasic v1.0 (1984)(Your Sinclair).zip;/pub/sinclair/utils/YSMegaBasicV1.0.tzx.zip;YS MegaBasic v1.0 (1984)(Your Sinclair);YS MegaBasic (1984)(Your Spectrum);0008997;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008997
tosec\Applications\[TAP]\Sprite Editor (1985)(Your Computer).zip;/pub/sinclair/utils/SpriteEditor.tap.zip;Sprite Editor (1985)(Your Computer);Sprite Editor (1988)(Your Sinclair);0009001;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009001
tosec\Applications\[TAP]\Zapper 2 (19xx)(R. Thomas - J. I-Land Hill).zip;/pub/sinclair/utils/Zapper2.tap.zip;Zapper 2 (19xx)(R. Thomas - J. I-Land Hill);Zapper 2 (1983)(R. Thomas);0009006;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009006
tosec\Applications\[Z80]\Zappo (19xx)(-).zip;/pub/sinclair/utils/Zappo.z80.zip;Zappo (19xx)(-);Zappo (1984)(ZX Computing);0009007;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009007
tosec\Applications\[TZX]\Zeus Assembler (1983)(Sinclair Research)[re-release].zip;/pub/sinclair/utils/Zeus(ZeusAssembler)(SinclairResearchLtd).tzx.zip;Zeus Assembler (1983)(Sinclair Research);Zeus (1983)(Sinclair Research);0009010;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0009010
tosec\Applications\[Z80]\ZX LPrint (1983)(ZX Power Prod).zip;/pub/sinclair/utils/ZXLPRINT.z80.zip;ZX LPrint (1983)(ZX Power Prod);ZX LPRINT (1983)(ZX-Power);0009021;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009021
tosec\Applications\[TZX]\ZXED Spectrum Toolkit (1982)(DK'Tronics)[a][16K].zip;/pub/sinclair/utils/ZXEDSpectrumToolkit.tzx.zip;ZXED Spectrum Toolkit (1982)(DK'Tronics);ZXED Spectrum Toolkit (1983)(DK'Tronics);0009025;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009025
tosec\Applications\[TZX]\ZXED Spectrum Toolkit (1982)(DK'Tronics)[a].zip;/pub/sinclair/utils/ZXEDSpectrumToolkit.tzx.zip;ZXED Spectrum Toolkit (1982)(DK'Tronics);ZXED Spectrum Toolkit (1983)(DK'Tronics);0009025;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009025
tosec\Applications\[TZX]\ZXED Spectrum Toolkit (1982)(DK'Tronics)[16K].zip;/pub/sinclair/utils/ZXEDSpectrumToolkit_3.tzx.zip;ZXED Spectrum Toolkit (1982)(DK'Tronics);ZXED Spectrum Toolkit (1983)(DK'Tronics);0009025;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009025
tosec\Applications\[TZX]\ZXED Spectrum Toolkit (1982)(DK'Tronics).zip;/pub/sinclair/utils/ZXEDSpectrumToolkit_2.tzx.zip;ZXED Spectrum Toolkit (1982)(DK'Tronics);ZXED Spectrum Toolkit (1983)(DK'Tronics);0009025;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009025
tosec\Applications\[TAP]\ZXED Spectrum Toolkit (1982)(DK'Tronics)[16K].zip;/pub/sinclair/utils/ZXEDSpectrumToolkit.tap.zip;ZXED Spectrum Toolkit (1982)(DK'Tronics);ZXED Spectrum Toolkit (1983)(DK'Tronics);0009025;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009025
