Wrong release chosen:
tosec_path;zxdb_path;wos_id;ZXDB TOSEC-compliant name
Sinclair ZX Spectrum\Games\[TZX]\Antagonisten, De (1985)(Addison-Wesley Productions)(nl).zip;;0005951;Antagonists, The (1985)(Addison-Wesley Productions)(nl).tzx
Sinclair ZX Spectrum\Games\[Z80]\Antagonisten, De (1985)(Addison-Wesley Productions)(nl).zip;;0005951;Antagonists, The (1985)(Addison-Wesley Productions)(nl).z80
Sinclair ZX Spectrum\Games\[TZX]\Army Moves (1986)(Dinamic Software)(es)[a2].zip;/pub/sinclair/games/a/ArmyMoves(ImagineSoftwareLtd).tzx.zip;0000273;Army Moves (1987)(Imagine Software)(es).tzx
Sinclair ZX Spectrum\Games\[Z80]\Ashes, The (1984)(CCS).zip;;0000284;Ashes, The (1984)(CCS).z80
Sinclair ZX Spectrum\Games\[Z80]\Ashes, The (1984)(CCS)[a].zip;;0000284;Ashes, The (1984)(CCS).z80
Sinclair ZX Spectrum\Games\[TZX]\Asterix y el Caldero Magico (1986)(Erbe Software)[aka Asterix and the Magic Cauldron].zip;/pub/sinclair/games/a/AsterixAndTheMagicCauldron(AsterixYElCalderoMagico)(ErbeSoftwareS.A.).tzx.zip;0000290;Asterix y el Caldero Magico (1986)(Erbe Software)[aka Asterix and the Magic Cauldron].tzx
Sinclair ZX Spectrum\Games\[TZX]\Asterix y el Caldero Magico (1986)(Erbe Software)[small case][aka Asterix and the Magic Cauldron].zip;/pub/sinclair/games/a/AsterixAndTheMagicCauldron(SmallCase)(AsterixYElCalderoMagico)(ErbeSoftwareS.A.).tzx.zip;0000290;Asterix y el Caldero Magico (1986)(Erbe Software)[small case][aka Asterix and the Magic Cauldron].tzx
Sinclair ZX Spectrum\Games\[Z80]\Asteroidy (1983)(Fontana Publishing)(cs)[16K][aka Asteroid Belt].zip;;0013306;Asteroids (1982)(Fontana Publishing)(cs)[16K][aka Asteroid Belt].z80
Sinclair ZX Spectrum\Games\[TZX]\Avenger (1986)(Erbe Software)[small case].zip;/pub/sinclair/games/a/Avenger(SmallCase)(ErbeSoftwareS.A.).tzx.zip;0000351;Avenger (1986)(Erbe Software)[48-128K][small case].tzx
Sinclair ZX Spectrum\Games\[TZX]\Backgammon (1983)(CP Software)[a].zip;/pub/sinclair/games/b/Backgammon_3.tzx.zip;0000370;Backgammon (1983)(Pi Software).tzx
Sinclair ZX Spectrum\Covertapes\[Z80]\Balloon Hopper (1983)(Your Computer)(de)[16K].zip;;0000393;Balloon Hopper (1983)(Your Computer)(de)[16K].z80
Sinclair ZX Spectrum\Covertapes\[Z80]\Balloon Hopper (1983)(Your Computer)(de)[a][16K].zip;;0000393;Balloon Hopper (1983)(Your Computer)(de)[16K].z80
Sinclair ZX Spectrum\Covertapes\[TAP]\Balloon Hopper (1983)(Your Computer)[16K].zip;/pub/sinclair/games/b/BalloonHopper.tap.zip;0000393;Balloon Hopper (1983)(Your Computer)[16K].tap
Sinclair ZX Spectrum\Games\[TZX]\Barbarian II - The Dungeon of Drax (1988)(Palace Software).zip;/pub/sinclair/games/b/BarbarianII-TheDungeonOfDrax(Kixx).tzx.zip;0000409;Barbarian II - The Dungeon of Drax (1990)(Kixx).tzx
Sinclair ZX Spectrum\Games\[TZX]\Barbarian II - The Dungeon of Drax (1988)(Palace Software)[128K].zip;/pub/sinclair/games/b/BarbarianII-TheDungeonOfDrax(Kixx).tzx.zip;0000409;Barbarian II - The Dungeon of Drax (1990)(Kixx)[128K].tzx
Sinclair ZX Spectrum\Games\[TZX]\Basil - The Great Mouse Detective (1987)(Erbe Software)[a][48-128K][re-release].zip;/pub/sinclair/games/b/BasilTheGreatMouseDetective(IBSA).tzx.zip;0000430;Basil the Great Mouse Detective (1987)(IBSA)[48-128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Bazooka Bill (1986)(Erbe Software)[re-release].zip;/pub/sinclair/games/b/BazookaBill(SmallCase)(ErbeSoftwareS.A.).tzx.zip;0000475;Bazooka Bill (1986)(Erbe Software)[re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Bismarck (1987)(PSS)[a].zip;/pub/sinclair/games/b/Bismarck(SummitSoftware1).tzx.zip;0000540;Bismarck (1987)(Summit Software).tzx
Sinclair ZX Spectrum\Games\[TZX]\Black Tower II - A Serpentine Tale (1993)(Zenobi Software).zip;/pub/sinclair/games/s/SerpentineTaleA.tzx.zip;0006014;Serpentine Tale, A (1993)(Diane Rice).tzx
Sinclair ZX Spectrum\Covertapes\[TAP]\Blokman (1984)(Your Computer).zip;/pub/sinclair/games/b/Blokman.tap.zip;0000582;Blokman (1984)(Your Computer).tap
Sinclair ZX Spectrum\Covertapes\[TAP]\Blokman (1984)(Your Computer)[16K].zip;;0000582;Blokman (1984)(Your Computer)[16K].tap
Sinclair ZX Spectrum\Covertapes\[TZX]\Blokman (1984)(Your Computer)[16K].zip;;0000582;Blokman (1984)(Your Computer)[16K].tzx
Sinclair ZX Spectrum\Covertapes\[Z80]\Blokman (1984)(Your Computer)[16K].zip;;0000582;Blokman (1984)(Your Computer)[16K].z80
Sinclair ZX Spectrum\Games\[TZX]\Blood Brothers (1988)(Erbe Software)[a][48-128K][re-release].zip;/pub/sinclair/games/b/BloodBrothers(IBSA).tzx.zip;0000584;Blood Brothers (1988)(IBSA)[48-128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Blood Valley (1987)(Erbe Software)(M3)[a2][48-128K][re-release].zip;/pub/sinclair/games/b/BloodValley(IBSA).tzx.zip;0000590;Blood Valley (1987)(IBSA)(M3)[48-128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Bloody (1987)(Grupo Editorial SYGRAN)[a].zip;/pub/sinclair/games/b/Bloody.tzx.zip;0000594;Bloody (1987)(Grupo Editorial SYGRAN)(es).tzx
Sinclair ZX Spectrum\Covertapes\[Z80]\Boid (1992)(Gadtek Games - Sinclair User).zip;/pub/sinclair/games/b/Boid(SinclairUser).z80.zip;0000613;Boid (1992)(Sinclair User).z80
Sinclair ZX Spectrum\Games\[TZX]\Boulder Dash (1984)(Prism Leisure)[re-release].zip;/pub/sinclair/games/b/BoulderDash.tzx.zip;0000639;Boulder Dash (1984)(Front Runner)[re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Boulder Dash - Construction Kit (1988)(Databyte)[48-128K].zip;/pub/sinclair/games/b/BoulderDashConstructionKit(BoulderDashIV)(Hi-TecSoftwareLtd).tzx.zip;0000650;Boulder Dash IV (1990)(Hi-Tec Software)[48-128K].tzx
Sinclair ZX Spectrum\Games\[Z80]\Boxing Manager (1988)(D&H Games).zip;;0000668;Boxing Manager (1987)(D&H Games).z80
Sinclair ZX Spectrum\Games\[TAP]\Bridge Player 2 (1984)(CP Software)[b].zip;/pub/sinclair/games/b/BridgePlayer2(JanuszGajewicz).tap.zip;0000704;Bridge Player 2 (1984)(Janusz Gajewicz)[b].tap
Sinclair ZX Spectrum\Games\[DSK]\Buffalo Bill's Wild West Show (1989)(System 4)[re-release].zip;/pub/sinclair/games/b/BuffaloBillsWildWestShow(System4).dsk.zip;0000735;Buffalo Bill's Wild West Show (1989)(System 4)[48-128K][re-release].dsk
Sinclair ZX Spectrum\Games\[DSK]\Buffalo Bill's Wild West Show (1989)(System 4)[re-release].zip;/pub/sinclair/games/b/BuffaloBillsWildWestShow(System4).dsk.zip;0000735;Buffalo Bill's Wild West Show (1989)(System 4)[48-128K][re-release].dsk
Sinclair ZX Spectrum\Covertapes\[TZX]\Builder (1984)(Sinclair Programs)[16K].zip;/pub/sinclair/games/b/Builder(JohnStafford).tzx.zip;0013234;Builder (1984)(John Stafford)[16K].tzx
Sinclair ZX Spectrum\Games\[TZX]\Cabal (1989)(Erbe Software)[a][128K][re-release].zip;/pub/sinclair/games/c/Cabal(IBSA).tzx.zip;0000780;Cabal (1989)(IBSA)(Side B)[128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Cabal (1989)(Erbe Software)[a][re-release].zip;/pub/sinclair/games/c/Cabal(IBSA).tzx.zip;0000780;Cabal (1989)(IBSA)(Side A)[48-128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Camelot Warriors (1986)(Dinamic Software)(es).zip;/pub/sinclair/games/c/CamelotWarriors_2.tzx.zip;0000794;Camelot Warriors (1986)(Dinamic Software)(es).tzx
Sinclair ZX Spectrum\Games\[TZX]\Camelot Warriors (1986)(Dinamic Software)(es)[b].zip;;0000794;Camelot Warriors (1986)(Dinamic Software)(es)[b][b].tzx
Sinclair ZX Spectrum\Games\[Z80]\Camelot Warriors (1986)(Dinamic Software)(es)[cr Roby][t +2].zip;;0000794;Camelot Warriors (1986)(Dinamic Software)(es)[cr Roby][t +2][cr Roby][t +2].z80
Sinclair ZX Spectrum\Games\[TZX]\Capitan Trueno (1989)(Dinamic Software)(es)(Side A)[a2].zip;/pub/sinclair/games/c/CapitanTrueno(IBSA).tzx.zip;0000802;Capitan Trueno (1990)(IBSA)(es)(Side A).tzx
Sinclair ZX Spectrum\Games\[TZX]\Capitan Trueno (1989)(Dinamic Software)(es)(Side B)[a2].zip;/pub/sinclair/games/c/CapitanTrueno(IBSA).tzx.zip;0000802;Capitan Trueno (1990)(IBSA)(es)(Side B).tzx
Sinclair ZX Spectrum\Games\[Z80]\Captain America - Defies the Doom Tube (1988)(Go!).zip;/pub/sinclair/games/c/CaptainAmericaInTheDoomTubeOfDrMegalomann.z80.zip;0000808;Captain America in the Doom Tube of Dr Megalomann (1988)(Go!).z80
Sinclair ZX Spectrum\Games\[Z80]\Captain America - Defies the Doom Tube (1988)(Go!)[a2].zip;;0000808;Captain America in the Doom Tube of Dr Megalomann (1988)(Go!).z80
Sinclair ZX Spectrum\Games\[Z80]\Captain America - Defies the Doom Tube (1988)(Go!)[a].zip;;0000808;Captain America in the Doom Tube of Dr Megalomann (1988)(Go!).z80
Sinclair ZX Spectrum\Games\[TAP]\Carlos Sainz (1990)(Zigurat Software)(es)[48-128K].zip;/pub/sinclair/games/c/CarlosSainz(Musical1S.A.).tap.zip;0000822;Carlos Sainz (1990)(Musical 1)(es)[48-128K].tap
Sinclair ZX Spectrum\Games\[TZX]\Castle Adventure (1990)(G.I. Games).zip;;0006065;Castle Adventure (1990)(G.I. Games).tzx
Sinclair ZX Spectrum\Games\[Z80]\Castle Adventure (1990)(G.I. Games).zip;;0006065;Castle Adventure (1990)(G.I. Games).z80
Sinclair ZX Spectrum\Games\[TZX]\Castle Adventure (1990)(G.I. Games)[a].zip;/pub/sinclair/games/c/CastleAdventure(G.I.Games).tzx.zip;0006065;Castle Adventure (1990)(G.I. Games).tzx
Sinclair ZX Spectrum\Games\[TZX]\Chase H.Q. (1989)(Erbe Software)(Side A)[a][48-128K][re-release].zip;/pub/sinclair/games/c/ChaseH.Q.(ErbeSoftwareS.A.).tzx.zip;0000903;Chase H.Q (1989)(Erbe Software)(Side A)[48-128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Chase H.Q. (1989)(Erbe Software)(Side B)[a][48-128K][re-release].zip;/pub/sinclair/games/c/ChaseH.Q.(ErbeSoftwareS.A.).tzx.zip;0000903;Chase H.Q (1989)(Erbe Software)(Side B)[48-128K][re-release].tzx
Sinclair ZX Spectrum\Covertapes\[TZX]\Chaser - Death Duel (1983)(Your Computer)[16K].zip;/pub/sinclair/games/c/Chaser.tzx.zip;0000908;Chaser (1983)(Your Computer)[16K].tzx
Sinclair ZX Spectrum\Covertapes\[TAP]\Chaser - Death Duel (1983)(Your Computer)[m Stefan Benk][16K].zip;/pub/sinclair/games/c/Chaser(StefanBenk).tap.zip;0000908;Chaser (1983)(Stefan Benk)[16K][m Stefan Benk].tap
Sinclair ZX Spectrum\Covertapes\[TZX]\Chaser - Death Duel (1983)(Your Computer)[m Stefan Benk][16K].zip;;0000908;Chaser (1983)(Your Computer)[16K][m Stefan Benk][m Stefan Benk].tzx
Sinclair ZX Spectrum\Covertapes\[Z80]\Chaser - Death Duel (1983)(Your Computer)[m Stefan Benk][16K].zip;;0000908;Chaser (1983)(Your Computer)[16K][m Stefan Benk][m Stefan Benk].z80
Sinclair ZX Spectrum\Games\[TZX]\Chuck Yeager's Advanced Flight Trainer (1989)(Electronic Arts).zip;/pub/sinclair/games/c/ChuckYeagersAdvancedFlightTrainer(DroSoft).tzx.zip;0000956;Chuck Yeager's Advanced Flight Trainer (1989)(Dro Soft)(Side A)[48-128K].tzx
Sinclair ZX Spectrum\Games\[TZX]\Chuck Yeager's Advanced Flight Trainer (1989)(Electronic Arts)[128K].zip;/pub/sinclair/games/c/ChuckYeagersAdvancedFlightTrainer(DroSoft).tzx.zip;0000956;Chuck Yeager's Advanced Flight Trainer (1989)(Dro Soft)(Side B)[128K].tzx
Sinclair ZX Spectrum\Games\[TZX]\City of Ehdollah, The (1984)(Dorling Kindersley Software)[a].zip;/pub/sinclair/games/c/CityOfEhdollahThe(SacredRubyOfTheToggalids)(unknown).tzx.zip;0006084;Sacred Ruby of the Toggalids (1984)(Goldstar).tzx
Sinclair ZX Spectrum\Games\[Z80]\City of Ehdollah, The (1984)(Dorling Kindersley Software)[a].zip;/pub/sinclair/games/c/CityOfEhdollahThe(SacredRubyOfTheToggalids)(unknown).z80.zip;0006084;Sacred Ruby of the Toggalids (1984)(Goldstar).z80
Sinclair ZX Spectrum\Games\[TZX]\Cloud 99 (1988)(Marlin Games)[a].zip;/pub/sinclair/games/c/Cloud99.tzx.zip;0006091;Cloud 99 (1988)(Marlin Games).tzx
Sinclair ZX Spectrum\Games\[TZX]\Cloud 99 (1988)(Marlin Games)[a][128K].zip;/pub/sinclair/games/c/Cloud99.tzx.zip;0006091;Cloud 99 (1988)(Marlin Games)[128K].tzx
Sinclair ZX Spectrum\Games\[Z80]\Computer Brag (1983)(Turtle Software).zip;/pub/sinclair/games/c/ComputerBrag(TurtleSoftware).z80.zip;0001040;Computer Brag (1983)(Turtle Software).z80
